Emplyee name,Due for promotion,Emplyee name,Due for retirement,find 1's in both cells,54 names are present who needs servernace benefit
Lenny U Rister,0,Lenny U Rister,1,no,-
Loren H Mckenzie,1,Loren H Mckenzie,1,yes,Loren H Mckenzie
Lorriane P Ho,0,Lorriane P Ho,1,no,-
Lyn Tso,0,Lyn Tso,1,no,-
Margrett M Confer,0,Margrett M Confer,1,no,-
Maximina K Frates,1,Maximina K Frates,1,yes,Maximina K Frates
Micaela N Buker,0,Micaela N Buker,1,no,-
Narcisa C Rayburn,1,Narcisa C Rayburn,1,yes,Narcisa C Rayburn
Nettie T Mccandless,1,Nettie T Mccandless,1,yes,Nettie T Mccandless
Oren M Mcnabb,0,Oren M Mcnabb,1,no,-
Oren Mcnabb,0,Oren Mcnabb,1,no,-
Orval Q Olinger,0,Orval Q Olinger,1,no,-
Patria D Riedel,1,Patria D Riedel,1,yes,Patria D Riedel
Raymundo Pecora,0,Raymundo Pecora,1,no,-
Reinaldo G Castellanos,1,Reinaldo G Castellanos,1,yes,Reinaldo G Castellanos
Reynaldo S Service,0,Reynaldo S Service,1,no,-
Sammy C Holtzclaw,0,Sammy C Holtzclaw,1,no,-
Sarita P Schubert,0,Sarita P Schubert,1,no,-
Scott D Torrey,1,Scott D Torrey,1,yes,Scott D Torrey
Shanti P Brinegar,0,Shanti P Brinegar,1,no,-
Shavonne Henkle,0,Shavonne Henkle,1,no,-
Sherwood K Shire,0,Sherwood K Shire,1,no,-
Sol K Roger,0,Sol K Roger,1,no,-
Stephan Q Ranger,1,Stephan Q Ranger,1,yes,Stephan Q Ranger
Stewart Mazurek,1,Stewart Mazurek,1,yes,Stewart Mazurek
Susana H Hooks,1,Susana H Hooks,1,yes,Susana H Hooks
Tamera Balser,0,Tamera Balser,1,no,-
Taneka Q Church,1,Taneka Q Church,1,yes,Taneka Q Church
Taylor Thill,1,Taylor Thill,1,yes,Taylor Thill
Therese Q Belden,1,Therese Q Belden,1,yes,Therese Q Belden
Tiny Q Llanos,1,Tiny Q Llanos,1,yes,Tiny Q Llanos
Toney O Gentle,0,Toney O Gentle,1,no,-
Toney W Bollman,1,Toney W Bollman,1,yes,Toney W Bollman
Toya B Rawlins,1,Toya B Rawlins,1,yes,Toya B Rawlins
Valene Z Woodmansee,1,Valene Z Woodmansee,1,yes,Valene Z Woodmansee
Vaughn Garica,1,Vaughn Garica,1,yes,Vaughn Garica
Vernell X Amado,1,Vernell X Amado,1,yes,Vernell X Amado
Vikki N Lezama,0,Vikki N Lezama,1,no,-
Violet L Ertel,0,Violet L Ertel,1,no,-
Walton S Keim,1,Walton S Keim,1,yes,Walton S Keim
Willia Vath,0,Willia Vath,1,no,-
Windy A Dudek,0,Windy A Dudek,1,no,-
Wm S Goldschmidt,0,Wm S Goldschmidt,1,no,-
